{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{ 6.60247585205000*10^-01,  -6.20840796785000*10^-01,  -4.22646224729000*10^-01}  
{ 1.97340052877000*10^-01,   4.45918888612000*10^-01,   8.73048250849000*10^-01}  
{-5.29578656922000*10^-01,  -6.60635419780000*10^-02,   8.45684370527000*10^-01}  
{-2.24783229029000*10^-01,   9.13640016023000*10^-01,   3.38724698050000*10^-01}  
{-7.35626467712000*10^-01,  -1.42184730745000*10^-01,  -6.62296914039000*10^-01}  
{-7.35387762665000*10^-01,  -5.35056628400000*10^-01,   4.15835596032000*10^-01}  
{-5.68918019660000*10^-02,   4.19567637801000*10^-01,   9.05939468275000*10^-01}  
{-7.33128196926000*10^-01,   6.78922123877000*10^-01,   3.98471652890000*10^-02}  
{-6.33420401185000*10^-01,  -6.43893971560000*10^-01,  -4.29160982327000*10^-01}  
{-4.01203479189000*10^-01,  -8.49093150808000*10^-01,   3.43622743045000*10^-01}  
{ 6.21154458626000*10^-01,   5.72012346190000*10^-02,  -7.81597823236000*10^-01}  
{ 9.94711334885000*10^-01,  -1.02397948277000*10^-01,   8.00127737200000*10^-03}  
{ 3.76259016599000*10^-01,  -1.24316920872000*10^-01,  -9.18136403599000*10^-01}  
{ 5.85596435284000*10^-01,  -1.25079879828000*10^-01,   8.00894399184000*10^-01}  
{-4.85208746882000*10^-01,   6.71757626670000*10^-01,  -5.59744730176000*10^-01}  
{-4.00390480655000*10^-01,   8.87389155812000*10^-01,   2.28534350040000*10^-01}  
{ 9.58189833320000*10^-02,   2.33003545017000*10^-01,   9.67743804135000*10^-01}  
{-2.93987369754000*10^-01,  -7.84938606416000*10^-01,  -5.45383177759000*10^-01}  
{ 6.41860843414000*10^-01,  -7.43168756692000*10^-01,   1.88983747368000*10^-01}  
{-3.30669437397000*10^-01,   3.66065925670000*10^-02,   9.43036415284000*10^-01}  
{-9.47812588050000*10^-01,  -8.05251016970000*10^-02,  -3.08491500579000*10^-01}  
{ 6.06300617096000*10^-01,   5.15264043817000*10^-01,  -6.05724794653000*10^-01}  
{-3.01485622053000*10^-01,  -6.39911772567000*10^-01,  -7.06837564809000*10^-01}  
{-2.75069345574000*10^-01,  -1.91319838245000*10^-01,   9.42196144452000*10^-01}  
{ 3.68517107880000*10^-01,   5.32742930669000*10^-01,   7.61826824824000*10^-01}  
{-1.74350142174000*10^-01,   6.65212194363000*10^-01,  -7.26012923022000*10^-01}  
{ 9.64976288084000*10^-01,   1.48077520025000*10^-01,   2.16549789885000*10^-01}  
{-1.04075707155000*10^-01,   9.36424840892000*10^-01,   3.35077251600000*10^-01}  
{ 4.85546947120000*10^-01,   5.18972742090000*10^-01,   7.03499435046000*10^-01}  
{-7.66574070824000*10^-01,  -3.20803985871000*10^-01,  -5.56281400542000*10^-01}  
{-2.23614782247000*10^-01,   9.21660486350000*10^-01,  -3.17077872236000*10^-01}  
{-4.50147311662000*10^-01,   8.70897910860000*10^-02,  -8.88697229709000*10^-01}  
{ 1.70076169121000*10^-01,  -3.15885406758000*10^-01,   9.33429433056000*10^-01}  
{-7.91175002860000*10^-02,  -9.15759738403000*10^-01,   3.93858505899000*10^-01}  
{-5.89558746618000*10^-01,  -6.04098285140000*10^-01,  -5.36176972816000*10^-01}  
{-6.92055074067000*10^-01,   6.72693192918000*10^-01,  -2.61808408306000*10^-01}  
{-7.29077827169000*10^-01,  -9.88679154570000*10^-02,   6.77252284768000*10^-01}  
{-6.07383389394000*10^-01,  -3.29813394885000*10^-01,  -7.22709168921000*10^-01}  
{ 4.86118587610000*10^-02,  -4.85115882528000*10^-01,   8.73097627821000*10^-01}  
