{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{-7.67279477168000*10^-01,   6.34762851743000*10^-01,  -9.14238807110000*10^-02}  
{-3.10519444738000*10^-01,   2.05139113231000*10^-01,   9.28167882800000*10^-01}  
{-2.53161042324000*10^-01,   5.36910433980000*10^-01,  -8.04758766671000*10^-01}  
{ 4.80756721436000*10^-01,  -1.24789225787000*10^-01,  -8.67928927921000*10^-01}  
{ 7.93572941589000*10^-01,  -2.88060601531000*10^-01,   5.35969286641000*10^-01}  
{ 3.97136203221000*10^-01,   1.54681421736000*10^-01,   9.04630584195000*10^-01}  
{ 8.81657078597000*10^-01,   1.03491929880000*10^-01,   4.60402233063000*10^-01}  
{ 1.51015511857000*10^-01,  -9.84958148081000*10^-01,  -8.39747682760000*10^-02}  
{ 8.69312323336000*10^-01,   4.49178138942000*10^-01,   2.06240354908000*10^-01}  
{-5.90951160900000*10^-01,   2.02789698020000*10^-02,  -8.06452409516000*10^-01}  
{ 6.61945107538000*10^-01,  -7.06946201767000*10^-01,   2.49109900273000*10^-01}  
{ 5.97246805570000*10^-01,  -6.00805428503000*10^-01,   5.31346488007000*10^-01}  
{-3.47679628578000*10^-01,   3.30557676344000*10^-01,   8.77411248208000*10^-01}  
{ 2.59725938995000*10^-01,  -9.21318061188000*10^-01,   2.89336252036000*10^-01}  
{ 4.04032219723000*10^-01,  -5.91731925122000*10^-01,   6.97575296450000*10^-01}  
{-1.00244310525000*10^-01,   9.69461351112000*10^-01,   2.23820836624000*10^-01}  
{ 8.83629956062000*10^-01,  -1.36074587443000*10^-01,  -4.47975230790000*10^-01}  
{-8.59439161233000*10^-01,   2.08100806910000*10^-01,   4.66967217588000*10^-01}  
{ 6.62959751370000*10^-02,  -3.03439514209000*10^-01,  -9.50541585044000*10^-01}  
{ 4.83428268320000*10^-01,  -7.55685715766000*10^-01,  -4.41855415692000*10^-01}  
{ 8.32050454752000*10^-01,   3.54303477428000*10^-01,   4.26803334838000*10^-01}  
{ 9.27838784263000*10^-01,  -1.50789129937000*10^-01,   3.41141948037000*10^-01}  
{ 8.96211535638000*10^-01,  -2.56887177751000*10^-01,  -3.61681989180000*10^-01}  
{ 2.85670334385000*10^-01,  -9.53646904545000*10^-01,  -9.46046589970000*10^-02}  
{-6.74340118085000*10^-01,   7.35908498359000*10^-01,  -6.08612124710000*10^-02}  
{ 9.21500669637000*10^-01,   3.83652847400000*10^-01,  -6.03904672980000*10^-02}  
{-3.58452002970000*10^-01,  -9.18421534946000*10^-01,  -1.67373969643000*10^-01}  
{-9.82973778082000*10^-01,   1.78994127775000*10^-01,   4.15169101170000*10^-02}  
{-7.54217533787000*10^-01,   6.54929225361000*10^-01,   4.71552912830000*10^-02}  
{ 7.55769500388000*10^-01,   3.57090284386000*10^-01,   5.48907087840000*10^-01}  
{ 9.61768267713000*10^-01,  -4.19882203940000*10^-02,   2.70626659013000*10^-01}  
{-6.99275693829000*10^-01,   4.22142253400000*10^-03,  -7.14839620903000*10^-01}  
{ 6.74361727049000*10^-01,   9.98352253000000*10^-03,  -7.38333657887000*10^-01}  
{ 3.68068036203000*10^-01,  -4.79789160800000*10^-03,   9.29786481382000*10^-01}  
{ 1.36039853279000*10^-01,   5.44092022880000*10^-02,   9.89208166680000*10^-01}  
{ 4.18928153819000*10^-01,  -2.50802966453000*10^-01,   8.72695292732000*10^-01}  
{ 1.20846963039000*10^-01,   5.96635124300000*10^-01,  -7.93361544301000*10^-01}  
{-4.14601487740000*10^-01,   6.38079545843000*10^-01,  -6.48814379881000*10^-01}  
{-8.35641892396000*10^-01,   4.90946099363000*10^-01,  -2.46322055841000*10^-01}  
{-6.64378482723000*10^-01,  -7.47020442714000*10^-01,  -2.36999970740000*10^-02}  
{ 5.38355929298000*10^-01,  -3.60895301274000*10^-01,  -7.61529694042000*10^-01}  
{ 8.72348681271000*10^-01,  -4.13481487986000*10^-01,   2.60846386554000*10^-01}  
{ 3.71226021055000*10^-01,  -5.50294302193000*10^-01,  -7.47908699151000*10^-01}  
{-2.97062229155000*10^-01,   9.52983489542000*10^-01,   5.98038516350000*10^-02}  
{ 9.05070224252000*10^-01,  -4.45186158780000*10^-02,   4.22925504095000*10^-01}  
{-8.86557910020000*10^-02,  -9.00848119553000*10^-01,   4.24985665900000*10^-01}  
{ 6.06956401481000*10^-01,  -6.84673267247000*10^-01,  -4.03517587992000*10^-01}  
{ 2.43766600804000*10^-01,  -9.69087291010000*10^-01,   3.80482159230000*10^-02}  
{ 2.72732338294000*10^-01,  -4.83585260119000*10^-01,  -8.31722530562000*10^-01}  
{-5.85884042207000*10^-01,  -5.33626466869000*10^-01,   6.09903830898000*10^-01}  
{-8.45855457013000*10^-01,   5.22036386455000*10^-01,  -1.09574436150000*10^-01}  
{-5.60485991351000*10^-01,   2.83849139849000*10^-01,  -7.78000719348000*10^-01}  
{-3.53807277278000*10^-01,  -5.12099981377000*10^-01,   7.82671080096000*10^-01}  
{-9.06602033155000*10^-01,   1.09361075640000*10^-01,  -4.07569513842000*10^-01}  
{ 5.33094850770000*10^-02,   3.81911425801000*10^-01,  -9.22660155010000*10^-01}  
{-8.76088186084000*10^-01,  -4.63677025513000*10^-01,   1.32185877521000*10^-01}  
{-2.16767870943000*10^-01,   8.20372619862000*10^-01,   5.29150691871000*10^-01}  
{ 2.02090264978000*10^-01,  -7.41090084389000*10^-01,   6.40269483593000*10^-01}  
{-5.30522107133000*10^-01,  -8.18512343686000*10^-01,   2.20417415546000*10^-01}  
{ 6.68235636300000*10^-01,  -6.94767160341000*10^-01,  -2.66007006092000*10^-01}  
{-2.14206800420000*10^-01,  -1.58093510324000*10^-01,   9.63909689051000*10^-01}  
{ 9.20285415122000*10^-01,  -1.48707753110000*10^-02,  -3.90964978937000*10^-01}  
{ 9.42297380538000*10^-01,  -2.51655474652000*10^-01,  -2.20783080667000*10^-01}  
{-9.15241214637000*10^-01,   3.24690473412000*10^-01,   2.38557363133000*10^-01}  
{ 5.15565315735000*10^-01,   7.72318176691000*10^-01,   3.71102464508000*10^-01}  
